Asset Tag,Serial Number,Model Name,Asset Type
LT-009854,1LCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009065,B87HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010856-L,8LXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010876-L,JJVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010116,33FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010076,3FCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009991,GWCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009062,497HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009834,GQCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006934,5PGW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-010072,CFCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010833-L,C20SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009747,1PCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010104,8DCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009862,4JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009085,DN8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009843,6NCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010851-L,F00SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009879,BRCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009135,5Q8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009095,HB8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010878-L,F8TRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010106,7FCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009030,H77HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010840-L,HNXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-006733,5CZGV93,Latitude 5320 13inch i5 16GB 256GB,Laptop
LT-010052,JCCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007433,BNG4VG3,Latitude 5320,Laptop
LT-010092,FCCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007402,JPG4VG3,Latitude 5320 13inch i5 16GB,Laptop
LT-009858,GHCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009073,GN8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009894,H3FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009099,DC8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009714,5KCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009745,6DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009794,4DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010093,7GCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009710,HJCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010914-L,GMXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009115,BC8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009912,3WCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010908-L,2LXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009054,F97HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009742,HCCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006795,GNZGV93,Latitude 5320 13inch i5 16GB,Laptop
LT-009052,G77HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010905-L,J10SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010061,2HCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009833,7QCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009945,DSCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009835,GPCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009869,5RCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007257,6YCW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-010115,13FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009798,CKCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009914,J0FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009145,9C8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010006,3XCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010121,92FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009106,7D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009938,G2FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009068,FP8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009088,197HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009126,CD8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009905,6LCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009954,3TCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010906-L,7LVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009744,HDCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010050,CDCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009814,CFCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010101,JGCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010070,JDCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006797,3RZGV93,Latitude 5320 13inch i5 16GB,Laptop
LT-007438,4QG4VG3,Latitude 5320 13inch i5 16GB,Laptop
ITSG010901-L,5KVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009724,JNCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007125,JQDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009870,9XCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010251,GBTH1T3,Precision 5570 15inch i7 32GB 512GB,Laptop
LT-009778,BJCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009736,3NCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009823,7DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009040,587HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010849-L,9KVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009130,977HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
