Asset Tag,Serial Number,Model Name,Asset Type
LT-009684,FVFJ71CWQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2534,4SZMBH2,Latitude 7280,Laptop
3153,C1MWG3TEJ1WL,MacBook Air,Laptop
2910,C02WL0RMHTDF,MacBook Pro 15-inch,Laptop
LT-006043,C02FN8KXMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011880-MAC,D2161X2WNC,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009683,FVFJ71C9Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2527,C02S8672G8WP,MacBook Pro 15-inch,Laptop
3152,C1MWG3SLJ1WL,MacBook Air (13-inch. Early 2015),Laptop
1521,C02S869QG8WP,MacBook Pro 15-inch,Laptop
LT-006044,C02FN8NMMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011879-MAC,LRY3F2R0J7,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009682,FVFJ71CZQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2525,2NZ2FH2,Latitude 7280,Laptop
3151,C1MWG620J1WL,MacBook Air,Laptop
4987,C02Y527TJG5J,MacBook Pro 15inch i7 16GB,Laptop
LT-006045,C02FN8T3MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011878-MAC,GM6616YGF7,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009681,FVFJC4A41WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
2511,C02S8619G8WP,MacBook Pro 15-inch,Laptop
LT-008089,V34HQ2GXX2,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3149,C1MWG3R3J1WL,MacBook Air,Laptop
4520,C02YF3RPJG5J,MacBook Pro 15-inch,Laptop
LT-006046,C02FN8TUMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011877-MAC,FYK23CXJC3,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009680,FVFJC4B21WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
2507,J1T2FH2,Latitude 7480,Laptop
LT-008090,P6D2RP23QW,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3147,C1MWG61ZJ1WL,MacBook Air,Laptop
3058,C02WP0D4HTDF,MacBook Pro 15-inch,Laptop
ITSG011876-MAC,J2W3253C9M,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009679,FVFJ7212Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2505,F72HFH2,Latitude 7280,Laptop
3146,C02WP0CPHTDF,MacBook Pro 15-inch,Laptop
2662,C02V8281HTDD,MacBook Pro 15-inch,Laptop
LT-006048,C02FN8KKMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011875-MAC,H2K9MXG6TP,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009678,FVFJC4CC1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
2471,C1MWH9BTJ1WL,MacBook Air,Laptop
3143,C02WP0BBHTDF,MacBook Pro 15-inch,Laptop
2120,C02XDABYJG5J,MacBook Pro 15-inch,Laptop
ITSG011874-MAC,CRXH6XRGFD,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009677,FVFJ722AQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2470,C1MWH99XJ1WL,MacBook Air,Laptop
4505,C02XHDC7JG5J,MacBook Pro 15inch i7 16GB,Laptop
LT-006050,C02FN850MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011873-MAC,MQVV6PPQH9,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009676,FVFJ71E5Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2297,C1MWF2UJJ1WL,MacBook Air,Laptop
LT-008094,L900FQTT9T,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3141,C02WP0C4HTDF,MacBook Pro 15-inch,Laptop
1604,C1MTX5AFJ1WL,MacBook Air,Laptop
LT-006051,C02FN83XMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011872-MAC,K4F74J6DV4,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009675,FVFJ71C7Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2260,C1MWF2U2J1WL,MacBook Air,Laptop
3137,C1MW62UWJ1WL,MacBook Air,Laptop
3932,C02ZL3UDLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006052,C02FN8MBMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011871-MAC,H346G70HJ4,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009674,FVFJ72E7Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2240,C1MWF31AJ1WL,MacBook Air,Laptop
3136,C1MWG3X4J1WL,MacBook Air,Laptop
1977,C02XDAC6JG5J,MacBook Pro 15-inch,Laptop
LT-006053,C02FN8VKMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011870-MAC,FC2G34WK3Q,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009673,FVFJ726JQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2166,C1MWF2NFJ1WL,MacBook Air,Laptop
3133,C1MWG6HEJ1WL,MacBook Air,Laptop
3861,C02ZL3V0LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006054,C02FN8T4MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011869-MAC,JGQNRY5D66,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009672,FVFJ7338Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2114,C1MWF2VKJ1WL,MacBook Air,Laptop
3132,C1MWG3WLJ1WL,MacBook Air,Laptop
3752,C02Z51GMLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006055,C02FN84DMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011868-MAC,J92790W4GM,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009671,FVFJ71RVQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
2083,6CX3PQ2,Latitude 7390,Laptop
3131,C1MWG6E3J1WL,MacBook Air,Laptop
1518,C02S86Y5G8WP,MacBook Pro 15-inch,Laptop
LT-006056,C02FN8VEMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011867-MAC,DQJGF9D2H0,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009670,FVFJC2RA1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
2053,C1MWF2CMJ1WL,MacBook Air,Laptop
LT-008100,FM2WJJ6K2J,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
4293,C02ZL3V9LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006057,C02FN8Q8MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011866-MAC,HJ2T0JW0NT,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009669,FVFJ732MQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1951,C02XDA78JG5J,MacBook Pro 15-inch,Laptop
3127,C02WP0D5HTDF,MacBook Pro 15-inch,Laptop
784,C02S86MZG8WP,MacBook Pro 15-inch,Laptop
ITSG011865-MAC,KP6M6D4K6M,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009668,FVFJ71C1Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1890,C02X170XJG5J,MacBook Pro 15-inch,Laptop
3126,C1MWG3TBJ1WL,MacBook Air,Laptop
2501,C02S8ECAG8WP,MacBook Pro 15-inch,Laptop
LT-006059,C02FN8QAMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011864-MAC,CF147J4RW4,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009667,FVFJ71DGQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1775,FVFSQ3Q1H3QF,MacBook Air,Laptop
3124,C1MW62V9J1WL,MacBook Air,Laptop
4280,C02ZL3S1LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006060,C02FN843MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011863-MAC,GKFC6GWYTD,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009666,FVFJC49J1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1733,30Y0PF2,Latitude E7270,Laptop
LT-008104,GPF9H6GTDJ,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3121,C02WP0BWHTDF,MacBook Pro 15-inch,Laptop
2476,C02XJ9NXJG5J,MacBook Pro 15-inch,Laptop
LT-006061,C02FN8TQMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011862-MAC,HRXGG6WHV9,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009665,FVFJC14V1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1730,2ZX0PF2,Latitude E7270,Laptop
LT-008105,Q2LRQR22K5,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3120,C02WP0D2HTDF,MacBook Pro (15-inch. 2017),Laptop
786,C02S86PDG8WP,MacBook Pro 15-inch,Laptop
LT-006062,C02FN8V4MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011861-MAC,GY29VYC9D7,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009664,FVFJC3CK1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1729,JZ92PF2,Latitude E7270,Laptop
3118,7WVP4Q2,Latitude 5290 2-in-1,Laptop
4261,C02ZL3T0LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006063,C02FN8TWMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011860-MAC,HGQ6MFK4V0,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009663,FVFJ7358Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1697,CFQFSN2,Latitude 7390,Laptop
LT-008107,PWLXKWKJWW,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3106,C02WP0ARHTDF,MacBook Pro 15-inch,Laptop
4764,C02YF795JG5J,MacBook Pro 15-inch,Laptop
LT-006064,C02FN8VCMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011859-MAC,L0Q4GQ7DYQ,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009662,FVFJ737PQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1669,J5BW3M2,Latitude 7480,Laptop
LT-008108,RC4L3H6255,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3105,C02WP0CKHTDF,MacBook Pro 15-inch,Laptop
1950,C02XDA84JG5J,MacBook Pro 15-inch,Laptop
LT-006065,C02FN8TCMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011858-MAC,LHQ4N56DKH,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009661,FVFJ71QTQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1637,C02S8DXVG8WP,MacBook Pro 15-inch,Laptop
LT-008109,L96XQC4LRF,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3263,C02X2040HTDF,MacBook Pro 15-inch,Laptop
LT-006066,C02FN8N7MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011857-MAC,JXLCYH79W9,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009660,FVFJ71LX1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1523,C02T13Q9FVH4,MacBook Pro 13-inch,Laptop
3100,C1MWG3QLJ1WL,MacBook Air,Laptop
4909,C02Z51JHLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006067,C02FN8KSMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG011856-MAC,H7WTP7G3QR,MacBook Pro 16inch M2Pro 32GB 512GB,Laptop
LT-009659,FVFJ72RZQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1495,CMG43H2,Latitude E7470,Laptop
3097,C02WP0AVHTDF,MacBook Pro 15-inch,Laptop
3045,C02WP0BLHTDF,MacBook Pro 15-inch,Laptop
LT-006068,C02FN8XBMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009658,FVFJ7191Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1494,9X453H2,Latitude E7470,Laptop
2788,C02W52DYHTDF,MacBook Pro 15-inch,Laptop
LT-006069,C02FN8VTMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009657,FVFJ71F1Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1489,50Q43H2,Latitude E7470,Laptop
LT-008113,PJGQQ6LHYP,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3093,C02WP0BSHTDF,MacBook Pro 15-inch,Laptop
4782,C02YT4AALVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006070,C02FN8Q5MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009656,FVFJC48U1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1488,BGV43H2,Latitude E7470,Laptop
LT-008114,K7JX9GVWNT,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3088,C02WL0RUHV2R,MacBook Pro 13-inch,Laptop
2783,C02W52E3HTDF,MacBook Pro 15-inch,Laptop
LT-006071,C02FN8PMMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009655,FVFJ737YQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1486,J2Q43H2,Latitude E7470,Laptop
3087,C02W62VUHV2R,MacBook Pro 13-inch,Laptop
5184,C02ZLKKBMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-006072,C02FN8W9MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009654,FVFJ733GQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1484,94553H2,Latitude E7470,Laptop
3080,C02W62VXHV2R,MacBook Pro (13-inch. 2017. Four Thunderbolt 3 ports),Laptop
1892,C02WX76DJG5J,MacBook Pro 15-inch,Laptop
LT-006073,C02FN8KVMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009653,FVFJ732FQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1482,DYZ43H2,Latitude E7470,Laptop
1499,FVFSQ3XJH3QF,MacBook Air,Laptop
LT-006074,C02FN85CMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009652,FVFJ736JQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1481,38QZ2H2,Latitude E7470,Laptop
3070,C02T15AUFVH4,MacBook Pro 13-inch,Laptop
2409,C02XKAM1JG5J,MacBook Pro 15-inch,Laptop
LT-006075,C02FN8XUMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009651,FVFJ732DQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1480,G6Q43H2,Latitude E7470,Laptop
LT-008119,D760FJCNPG,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3069,C02W62VLHV2R,MacBook Pro 13-inch,Laptop
3204,C02WP059HTDF,MacBook Pro 15-inch,Laptop
LT-006076,C02FN8SVMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009650,FVFJ731EQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1478,GDV43H2,Latitude E7470,Laptop
LT-008120,C57GQHL201,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3065,C02W62W9HV2R,MacBook Pro 13-inch,Laptop
3416,C02Z51J7LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006077,C02FN8T5MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009649,FVFJ72HRQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1474,89V43H2,Latitude E7470,Laptop
3064,C02W62WCHV2R,MacBook Pro 13-inch,Laptop
4283,C02ZL3SLLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006078,C02FN8R8MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009648,FVFJ72KNQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1473,JV453H2,Latitude E7470,Laptop
3061,C02WP0BDHTDF,MacBook Pro 15-inch,Laptop
4290,C02ZL3S0LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006079,C02FN85WMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009647,FVFJ71YNQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1467,1H42PF2,Latitude E7270,Laptop
LT-008123,X6WCQG9NV6,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3059,C02WP0B6HTDF,MacBook Pro 15-inch,Laptop
3004,C1MWG6J8J1WL,MacBook Air,Laptop
LT-006080,C02FN8SXMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009646,FVFJC49X1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1466,8X453H2,Latitude E7470,Laptop
4746,C02YF78ZJG5J,MacBook Pro 15-inch,Laptop
LT-009645,FVFJ71VQQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1465,C4L43H2,Latitude E7470,Laptop
3049,C02WP0DGHTDF,MacBook Pro 15-inch,Laptop
3986,C02ZL0ENLVDL,MacBook Pro 13inch i7 16GB,Laptop
LT-006082,C02FN8KNMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009644,FVFJ729EQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1463,G2FW3H2,Latitude E7470,Laptop
LT-008126,Q9GQ626CQG,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3047,C02WP0BAHTDF,MacBook Pro (15-inch. 2017),Laptop
3933,C02ZL3TDLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006083,C02FN8WHMD6M,MacBook Pro 16inch i7 16GB,Laptop
1721,D4Y0PF2,Latitude E7270,Laptop
LT-009643,FVFJ72YNQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1458,G3FW3H2,Latitude E7470,Laptop
3046,C02WP0B8HTDF,MacBook Pro 15-inch,Laptop
4813,C02YT49NLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006084,C02FN8SCMD6M,MacBook Pro 16inch i7 16GB,Laptop
1462,F1Q43H2,Latitude E7470,Laptop
LT-009642,FVFJ72LLQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1457,6GBW3H2,Latitude E7470,Laptop
3042,C02W62VZHV2R,MacBook Pro 13-inch,Laptop
1847,C02X172YJG5J,MacBook Pro 15-inch,Laptop
LT-006085,C02FN859MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009641,FVFJ7316Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1456,4GBW3H2,Latitude E7470,Laptop
3036,C02WP0CYHTDF,MacBook Pro 15-inch,Laptop
1601,C02S8696G8WP,MacBook Pro 15-inch,Laptop
LT-006086,C02FN8WMMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009640,FVFJC2NY1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1454,45FW3H2,Latitude E7470,Laptop
3026,C02WP0B1HTDF,MacBook Pro 15-inch,Laptop
4581,C02Y940YJG5J,MacBook Pro 15-inch,Laptop
ITSG997008-MAC,C02X2HLTJG5J,MacBook Pro 15inch i7 16GB,Laptop
LT-009635,FVFJ71FSQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1453,44FW3H2,Latitude E7470,Laptop
LT-008131,R45JXKP9PL,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
3021,GPJFSN2,Latitude 7390,Laptop
LT-006088,C02FN8MKMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG997009-MAC,C02X42WGJG5K,MacBook Pro 15inch i7 16GB,Laptop
LT-009634,FVFJ71Q8Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1452,61FW3H2,Latitude E7470,Laptop
3010,HKQFSN2,Latitude 7390,Laptop
2881,C02WJ180HTDF,MacBook Pro 15-inch,Laptop
ITSG997011-L,87456544853,Surface Pro,Laptop
LT-009633,FVFJ72J3Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1451,B4FW3H2,Latitude E7470,Laptop
3007,C02W62SWHV2R,MacBook Pro 13-inch,Laptop
3859,C02ZL3UTLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006090,C02FN8WLMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG997010-C,H6N0CX21C2395A,C302C Chromebook,Laptop
LT-009632,FVFJ71WCQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1448,FVFSQ3FGH3QF,MacBook Air,Laptop
3006,C02W62VQHV2R,MacBook Pro 13-inch,Laptop
3039,C02WP0BGHTDF,MacBook Pro 15-inch,Laptop
LT-006091,C02FN8L7MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG998012-L,R90VH0NV,ThinkPad X1Extreme 15inch i7 16GB,Laptop
LT-009631,FVFJ7378Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1441,C935PF2,Latitude E7470,Laptop
3002,C1MWG6GDJ1WL,MacBook Air,Laptop
3961,C02ZL3URLVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006092,C02FN8TLMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG998013-MAC,C02Y43MEJG5H,MacBook Pro 15inch i7 16GB,Laptop
LT-009630,FVFJ72QWQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1437,FQJ03H2,Latitude E7470,Laptop
LT-008136,YT26Q5T9CP,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
2999,C1MWG3R7J1WL,MacBook Air,Laptop
2877,C02WJ15JHTDF,MacBook Pro 15-inch,Laptop
LT-006094,C02FN8M9MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG998014-L,P206TCFX,ThinkBook 13S 13inch i7 16GB,Laptop
LT-009629,FVFJ71JEQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1434,HQJ03H2,Latitude E7470,Laptop
LT-008137,LG27ML9FCJ,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
2998,C1MW62SFJ1WL,MacBook Air,Laptop
2347,9WG4XT2,Latitude 7390,Laptop
LT-006095,C02FN8TTMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009628,FVFJ71D1Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1432,F1053H2,Latitude E7470,Laptop
2994,C1MWG3VVJ1WL,MacBook Air,Laptop
2594,C02S8DY0G8WP,MacBook Pro 15-inch,Laptop
LT-006096,C02FN8PBMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009627,FVFJ71CYQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1431,4FQZ2H2,Latitude E7470,Laptop
2993,C1MWG3VFJ1WL,MacBook Air,Laptop
5166,C02ZKR74MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-006097,C02FN8S4MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG996008-L,HQ8G924,Latitude 7350 13inch Ultra5 32GB 256GB,Laptop
LT-009626,FVFJ71F9Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1430,J0FW3H2,Latitude E7470,Laptop
2992,C1MW62XCJ1WL,MacBook Air,Laptop
3395,9YG4XT2,Latitude 7390,Laptop
LT-006098,C02FN8TRMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG996003-L,BPMBNL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009625,FVFJ7274Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1429,93FW3H2,Latitude E7470,Laptop
2987,C1MVX2J4J1WL,MacBook Air,Laptop
3011,70KFSN2,Latitude 7390,Laptop
ITSG996004-L,1RH8LL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009624,FVFJ7A111WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1425,1HBW3H2,Latitude E7470,Laptop
2985,C1MVX2H9J1WL,MacBook Air,Laptop
4955,C02Z51GTLVDQ,MacBook Pro 15inch i7 16GB,Laptop
ITSG996006-L,4KTK6M3,Precision 5560 15inch i7 32GB 512GB,Laptop
LT-009623,FVFJ733BQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1422,6535PF2,Latitude E7470,Laptop
2984,C1MVX2LNJ1WL,MacBook Air,Laptop
3582,BHY3MH2,Latitude 7480,Laptop
LT-006101,C02FN8S5MD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009622,FVFJ7377Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1417,G5G1PF2,Latitude E7270,Laptop
2982,C1MVX2LEJ1WL,MacBook Air,Laptop
1789,H4594Q2,Latitude 7390,Laptop
LT-006102,C02FN8THMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009621,FVFJ7343Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1413,FSM3PF2,Latitude E7470,Laptop
LT-008145,G9T2L727VR,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
2981,C1MVX2HKJ1WL,MacBook Air,Laptop
4001,JN8R3X2,Latitude 7390,Laptop
LT-006103,C02FN8SJMD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG996002-L,79K8LL3,Latitude 3420 14inch i5 8GB 512GB,Laptop
LT-009620,FVFJ723TQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1387,8T85PF2,Latitude E7470,Laptop
2980,C1MVX2KPJ1WL,MacBook Air,Laptop
4568,C02Y941SJG5J,MacBook Pro 15-inch,Laptop
LT-006104,C02FN8U5MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG996005-C,H4WJJX3,Latitude 5430Chrome 14inch i5 8GB 256GB,Laptop
LT-009615,FVFJ72N9Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1385,1983PF2,Latitude E7470,Laptop
2979,C1MVX2MYJ1WL,MacBook Air,Laptop
2841,C02WJ15RHTDF,MacBook Pro 15-inch,Laptop
LT-006105,C02FN8MWMD6M,MacBook Pro 16inch i7 16GB,Laptop
LT-009614,FVFJC38U1WFV,MacBook Air 13inch M1 8GB 256GB,Laptop
1384,GY453H2,Latitude E7470,Laptop
2978,C1MVX2HJJ1WL,MacBook Air,Laptop
4814,C02YT493LVDQ,MacBook Pro 15inch i7 16GB,Laptop
LT-006106,C02FN8X4MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG012647-MAC,DNV7HHKFWQ,MacBook Air 13inch M3 16GB 512GB,Laptop
LT-009613,FVFJ734PQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1381,39L43H2,Latitude E7470,Laptop
2977,C1MVX2P3J1WL,MacBook Air,Laptop
3550,BYX53H2,Latitude E7470,Laptop
LT-006107,C02FN8Q4MD6M,MacBook Pro 16inch i7 16GB,Laptop
ITSG012646-MAC,FFHPKJ4MY2,MacBook Air 13inch M3 16GB 512GB,Laptop
LT-009612,FVFJ72EUQ6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1375,FVFSQ3TXH3QF,MacBook Air,Laptop
LT-008150,T0VJXVC9PG,MacBook Pro 16inch M1Pro 16GB 512GB,Laptop
2976,C1MVX2NAJ1WL,MacBook Air,Laptop
2660,BHMN4M2,Latitude 7480,Laptop
ITSG012645-MAC,HN6FN4J24L,MacBook Air 13inch M3 16GB 512GB,Laptop
LT-009611,FVFJ71V0Q6L4,MacBook Air 13inch M1 8GB 256GB,Laptop
1374,FVFSQ3AHH3QF,MacBook Air,Laptop
2975,C1MVX2KBJ1WL,MacBook Air,Laptop
2967,D6XPQN2,Latitude 7390,Laptop
ITSG012644-MAC,MM2K9RYTP6,MacBook Air 13inch M3 16GB 512GB,Laptop
